datasetUuid,endpointType,startedCrawling,finishedCrawling,duration,finishReason,pagesCrawled,pagesFragmentedSuccessful,pagesFragmentedError,fragmentsEmitted,fragmentsReceived,rawOccurrencesPersistedNew,rawOccurrencesPersistedUpdated,rawOccurrencesPersistedUnchanged,rawOccurrencesPersistedError,fragmentsProcessed,verbatimOccurrencesPersistedSuccessful,verbatimOccurrencesPersistedError,interpretedOccurrencesPersistedSuccessful,interpretedOccurrencesPersistedError
http://gbrds.gbif.org/browse/agent?uuid=9e7ea106-0bf8-4087-bb61-dfe4f29e0f17,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:34:40,2013-04-09T11:35:46,65,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=1a2aa387-e93f-40d3-8a5a-d6d5d54884b4,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:09:49,2013-04-09T11:09:55,5,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=728db47b-d11e-44ed-a55e-08b1a559ee9b,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:34:17,2013-04-09T11:34:17,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=db93cee5-60d1-4e16-a69e-83dd7080a55e,DWC_ARCHIVE_CHECKLIST,2013-04-09T10:58:42,2013-04-09T10:58:43,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=8224f714-0e12-4dd9-9c76-fe9618157a40,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:30:10,2013-04-09T11:30:10,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=55b35274-91b0-4253-ae8b-c4f15b9c88d0,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:56:41,2013-04-09T10:57:24,42,NORMAL,1,1,0,66035,66035,66035,0,0,0,66035,66035,0,66035,0
http://gbrds.gbif.org/browse/agent?uuid=4eb871a4-6dc4-4db6-abf2-3ab553a41008,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:59:04,2013-04-09T10:59:04,0,NORMAL,1,1,0,1696,1696,0,0,0,1696,1696,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=714b3be8-f762-11e1-a439-00145eb45e9a,BIOCASE,2013-04-09T10:54:21,2013-04-09T10:55:21,60,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=de9ffc5b-26ed-42ea-b8b6-76a55c47c619,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:09:55,2013-04-09T11:09:56,1,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=84faa3a4-f762-11e1-a439-00145eb45e9a,DIGIR,2013-04-09T11:08:33,2013-04-09T11:20:29,715,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=2356f899-6244-4bbb-aa33-50e29132e86a,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:14:13,2013-04-09T11:14:20,7,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=8a3c5fa6-f762-11e1-a439-00145eb45e9a,BIOCASE,2013-04-09T10:54:48,2013-04-09T10:56:24,95,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=128548c0-9169-11db-9f6c-b8a03c50a862,TAPIR,2013-04-09T11:10:11,2013-04-09T11:36:07,1555,ABORT,121,121,0,32,32,32,0,0,0,32,32,0,32,0
http://gbrds.gbif.org/browse/agent?uuid=71e3fb9b-34ed-43d9-97d2-a829918828b2,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:15:27,2013-04-09T11:15:28,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
